TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND
24,0,29,2,3,25,1
24,0,29,2,3,14,1
24,0,29,2,3,15,1
27,0,31,2,3,0,1
27,0,31,2,3,1,1
0,0,0,2,3,25,1
10,0,14,2,3,1,1
0,0,0,2,3,17,1
0,0,0,2,3,21,1
0,0,0,2,3,18,1
10,0,14,2,3,0,1
0,0,0,2,3,20,1
0,0,0,2,3,4,1
0,0,0,2,3,10,1
0,0,0,2,3,9,1
30,0,35,0,0,19,1
30,0,23,0,0,19,1
30,0,35,0,0,19,1
10,0,14,0,0,19,3
10,0,14,0,0,19,3
27,0,31,0,0,19,3
27,0,31,0,0,19,3
27,0,31,0,0,19,3
27,0,31,0,0,19,0
30,0,8,0,0,19,1
30,0,12,0,3,6,3
1,0,12,3,1,12,3
5,1,12,3,1,12,3
5,1,12,0,0,19,3
5,1,12,0,0,19,3
30,0,35,0,0,19,3
30,0,35,1,0,3,3
30,0,35,0,2,11,3
30,0,35,0,0,19,3
30,0,35,0,0,19,3
30,0,35,0,2,11,3
30,0,35,0,2,11,3
10,0,17,2,2,24,3
10,0,17,0,3,6,3
11,0,12,0,2,11,3
11,0,12,0,2,11,3
11,0,12,1,0,3,3
11,0,12,1,0,3,3
30,0,12,0,2,11,3
30,0,12,2,3,13,3
30,0,12,2,3,23,3
30,0,12,1,0,3,3
22,0,25,0,3,6,3
22,0,25,0,2,11,3
22,0,25,1,0,3,3
22,0,25,0,0,19,3
27,0,31,2,3,0,1
27,0,31,2,3,1,1
30,0,30,0,0,19,1
3,0,23,0,2,11,3
3,0,23,0,3,6,3
3,0,23,0,0,19,3
3,0,23,1,0,3,3
24,0,29,0,0,19,3
24,0,29,1,0,3,3
24,0,29,0,2,11,3
24,0,29,1,0,3,3
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,12,0,0,19,1
30,0,8,0,0,19,1
30,0,12,0,3,6,3
10,0,12,0,0,19,3
11,0,12,0,0,19,3
11,0,12,0,2,11,3
10,0,12,1,0,3,3
11,0,12,1,0,3,3
30,0,35,0,0,19,3
30,0,35,1,0,3,3
30,0,35,0,2,11,3
10,0,12,0,2,11,3
10,0,12,0,2,11,3
10,0,12,1,0,3,3
10,0,12,1,0,3,3
10,0,12,2,3,13,3
10,0,12,2,3,23,3
25,1,23,0,0,19,3
7,0,12,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
30,0,35,0,0,19,1
17,0,24,0,0,19,1
30,0,13,0,0,19,1
30,0,35,0,0,19,1
30,0,4,0,0,19,1
30,0,12,0,0,19,1
30,0,35,0,0,19,1
30,0,30,0,0,19,1
30,0,24,0,0,19,1
10,0,12,0,2,11,3
10,0,12,1,0,3,3
10,0,12,1,0,3,3
10,0,12,0,0,19,3
