IB_FLAG,TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND
Y,RUB,N,RU,MULTIPROD,S,Treasury Trn Px PL - Funding Exp,C    
Y,RUB,N,RU,MULTIPROD,S,MTD Avg Principal Balance CR,C    
Y,RUB,N,RU,MULTIPROD,S,MTD Avg Principal Balance DB,C    
N,THB,N,TH,MULTIPROD,S,Account Sum of CR Transactions,C    
N,THB,N,TH,MULTIPROD,S,Account Sum of DB Transactions,C    
Y,AUD,N,AU,MULTIPROD,S,Treasury Trn Px PL - Funding Exp,C    
Y,EUR,N,ID,MULTIPROD,S,Account Sum of DB Transactions,C    
Y,AUD,N,AU,MULTIPROD,S,Original Principal,C    
Y,AUD,N,AU,MULTIPROD,S,Since Inception-Interest Accrue,C    
Y,AUD,N,AU,MULTIPROD,S,Overdue Penalty Interest,C    
Y,EUR,N,ID,MULTIPROD,S,Account Sum of CR Transactions,C    
Y,AUD,N,AU,MULTIPROD,S,Scheduled Principal Balance Amt,C    
Y,AUD,N,AU,MULTIPROD,S,CE - Unpaid Principal Bal Amt,C    
Y,AUD,N,AU,MULTIPROD,S,Interest IENC-Not Due,C    
Y,AUD,N,AU,MULTIPROD,S,Interest IENC-Due,C    
N,USD,N,US,CASH,A,Principal Balance,C    
N,USD,N,LU,CASH,A,Principal Balance,C    
N,USD,N,US,CASH,A,Principal Balance,C    
Y,EUR,N,ID,CASH,A,Principal Balance,PPSL 
Y,EUR,N,ID,CASH,A,Principal Balance,PPSL 
N,THB,N,TH,CASH,A,Principal Balance,PPSL 
N,THB,N,TH,CASH,A,Principal Balance,PPSL 
N,THB,N,TH,CASH,A,Principal Balance,PPSL 
N,THB,N,TH,CASH,A,Principal Balance,ADJSL
N,USD,N,DE,CASH,A,Principal Balance,C    
Y,USD,N,GB,CASH,S,Commitments and Contingencies,PPSL 
N,BRL,N,GB,OVDFT-LIAB,L,Inventory Position Amount,PPSL 
N,CNY,Y,GB,OVDFT-LIAB,L,Inventory Position Amount,PPSL 
N,CNY,Y,GB,CASH,A,Principal Balance,PPSL 
N,CNY,Y,GB,CASH,A,Principal Balance,PPSL 
Y,USD,N,US,CASH,A,Principal Balance,PPSL 
Y,USD,N,US,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,USD,N,US,CASH,R,Interest Income P&L,PPSL 
Y,USD,N,US,CASH,A,Principal Balance,PPSL 
Y,USD,N,US,CASH,A,Principal Balance,PPSL 
Y,USD,N,US,CASH,R,Interest Income P&L,PPSL 
Y,USD,N,US,CASH,R,Interest Income P&L,PPSL 
Y,EUR,N,JE,MULTIPROD,R,Transfer Pricing P&L,PPSL 
Y,EUR,N,JE,CASH,S,Commitments and Contingencies,PPSL 
Y,GBP,N,GB,CASH,R,Interest Income P&L,PPSL 
Y,GBP,N,GB,CASH,R,Interest Income P&L,PPSL 
Y,GBP,N,GB,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,GBP,N,GB,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,USD,N,GB,CASH,R,Interest Income P&L,PPSL 
Y,USD,N,GB,MULTIPROD,S,Letter of Credit-Issued,PPSL 
Y,USD,N,GB,MULTIPROD,S,Trans Notional Recvable (FS),PPSL 
Y,USD,N,GB,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,PLN,N,NL,CASH,S,Commitments and Contingencies,PPSL 
Y,PLN,N,NL,CASH,R,Interest Income P&L,PPSL 
Y,PLN,N,NL,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,PLN,N,NL,CASH,A,Principal Balance,PPSL 
N,THB,N,TH,MULTIPROD,S,Account Sum of CR Transactions,C    
N,THB,N,TH,MULTIPROD,S,Account Sum of DB Transactions,C    
N,USD,N,SG,CASH,A,Principal Balance,C    
Y,CHF,N,LU,CASH,R,Interest Income P&L,PPSL 
Y,CHF,N,LU,CASH,S,Commitments and Contingencies,PPSL 
Y,CHF,N,LU,CASH,A,Principal Balance,PPSL 
Y,CHF,N,LU,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,RUB,N,RU,CASH,A,Principal Balance,PPSL 
Y,RUB,N,RU,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,RUB,N,RU,CASH,R,Interest Income P&L,PPSL 
Y,RUB,N,RU,MULTI-LNS2,A,Accrued Interest Amount,PPSL 
Y,USD,N,US,CASH,A,Principal Balance,C    
Y,USD,N,US,CASH,A,Principal Balance,C    
Y,USD,N,GB,CASH,A,Principal Balance,C    
Y,USD,N,DE,CASH,A,Principal Balance,C    
