BASE_CCY_AMT,FNCT_CCY_AMT,TXN_CCY_AMT,IB_FLAG,TXN_CCY,OPER_DPST_FLAG,LV_DMC_CTRY,FRS_ACCOUNT_CLASS,ACCT_TYP,ACTG_UNIT_NM,ROW_SRC_IND,REC_TYP,ARRG_MAT_TYP_CD,Outliers,Outliers_2
-33146.28177,-2306739.76,-2306739.76,1,24,0,29,2,3,25,1,3,1,0,0
0,0,0,1,24,0,29,2,3,14,1,3,1,0,0
-4023409.6,-280000000,-280000000,1,24,0,29,2,3,15,1,3,1,0,0
0,0,0,0,27,0,31,2,3,0,1,0,0,0,0
0,0,0,0,27,0,31,2,3,1,1,0,0,0,0
0,0,0,1,0,0,0,2,3,25,1,3,0,0,0
-92.22831,-1382526,-84.86,1,10,0,14,2,3,1,1,0,0,0,0
105555000,150000000,150000000,1,0,0,0,2,3,17,1,3,0,0,0
5052696.114,7180184.9,7180184.9,1,0,0,0,2,3,21,1,3,0,0,0
0,0,0,1,0,0,0,2,3,18,1,3,0,0,0
-7839.57935,-117517304,0,1,10,0,14,2,3,0,1,0,0,0,0
0,0,0,1,0,0,0,2,3,20,1,3,0,0,0
0,0,0,1,0,0,0,2,3,4,1,3,0,0,0
0,0,0,1,0,0,0,2,3,10,1,3,0,0,0
0,0,0,1,0,0,0,2,3,9,1,3,0,0,0
1557.04,1557.04,1557.04,0,30,0,35,0,0,19,1,2,0,0,0
-14902.94,-14902.94,-14902.94,0,30,0,23,0,0,19,1,2,0,0,0
-2829094.67,-2829094.67,-2829094.67,0,30,0,35,0,0,19,1,2,0,0,0
18907.713,283426617.8,17482.86,1,10,0,14,0,0,19,3,3,0,0,0
1566489.734,23481681112,1448441.74,1,10,0,14,0,0,19,3,3,0,0,0
-671739.681,-22024362.51,-22024362.51,0,27,0,31,0,0,19,3,3,0,0,0
581.951,19080.461,19080.461,0,27,0,31,0,0,19,3,3,0,0,0
671310.229,22010282.05,22010282.05,0,27,0,31,0,0,19,3,3,0,0,0
-152.499,-5000,-5000,0,27,0,31,0,0,19,0,3,0,0,0
-56841.29,-56841.29,-56841.29,0,30,0,8,0,0,19,1,2,0,0,0
0,0,0,1,30,0,12,0,3,6,3,3,1,0,0
0,0,0,0,1,0,12,3,1,12,3,3,0,0,0
0,0,0,0,5,1,12,3,1,12,3,3,0,1,1
0,0,0,0,5,1,12,0,0,19,3,3,0,0,1
22932625.91,18627752.34,154954606.7,0,5,1,12,0,0,19,3,3,0,0,1
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-2656.06,-2656.06,-2656.06,1,30,0,35,0,2,11,3,3,1,0,0
168522.98,168522.98,168522.98,1,30,0,35,0,0,19,3,3,1,0,0
281397.6,281397.6,281397.6,1,30,0,35,0,0,19,3,3,1,0,0
-638.28,-638.28,-638.28,1,30,0,35,0,2,11,3,3,1,0,0
-1081.67,-1081.67,-1081.67,1,30,0,35,0,2,11,3,3,1,0,0
-1613.69,-1613.69,-1480.11,1,10,0,17,2,2,24,3,3,1,0,0
0,0,0,1,10,0,17,0,3,6,3,3,1,0,0
-697.039,-570.08,-570.08,1,11,0,12,0,2,11,3,3,1,0,0
-205.636,-168.18,-168.18,1,11,0,12,0,2,11,3,3,1,0,0
4482.62,3641.15,3641.15,1,11,0,12,1,0,3,3,3,1,0,0
2330.891,1893.34,1893.34,1,11,0,12,1,0,3,3,3,1,0,0
-426.104,-344.87,-426.1,1,30,0,12,0,2,11,3,3,1,0,0
0,0,0,1,30,0,12,2,3,13,3,3,1,0,0
0,0,0,1,30,0,12,2,3,23,3,3,1,0,0
0,0,0,1,30,0,12,1,0,3,3,3,1,0,0
0,0,0,1,22,0,25,0,3,6,3,3,1,0,0
-36058.063,-33308.45,-156233.28,1,22,0,25,0,2,11,3,3,1,0,0
0,0,0,1,22,0,25,1,0,3,3,3,1,0,0
0,0,0,1,22,0,25,0,0,19,3,3,1,0,0
-3259.39362,-106865.89,-106865.89,0,27,0,31,2,3,0,1,0,0,0,0
-1885.4501,-61818.34,-61818.34,0,27,0,31,2,3,1,1,0,0,0,0
3057041.32,3057041.32,3057041.32,0,30,0,30,0,0,19,1,2,0,0,0
-1786.191,-1664.98,-1648.65,1,3,0,23,0,2,11,3,3,1,0,0
0,0,0,1,3,0,23,0,3,6,3,3,1,0,0
0,0,0,1,3,0,23,0,0,19,3,3,1,0,0
0,0,0,1,3,0,23,1,0,3,3,3,1,0,0
4023410.501,280000000,280000000,1,24,0,29,0,0,19,3,3,1,0,0
113581.43,7904438.36,7904438.36,1,24,0,29,1,0,3,3,3,1,0,0
-38272.003,-2663452.06,-2663452.06,1,24,0,29,0,2,11,3,3,1,0,0
0,0,0,1,24,0,29,1,0,3,3,3,1,0,0
424025.83,424025.83,424025.83,1,30,0,35,0,0,19,1,2,0,0,0
7477440.14,7477440.14,7477440.14,1,30,0,35,0,0,19,1,2,0,0,0
-67687.8,-67687.8,-67687.8,1,30,0,12,0,0,19,1,2,0,0,0
-91063.37,-91063.37,-91063.37,1,30,0,8,0,0,19,1,2,0,0,0
49780.609,40435.878,49780.61,0,30,0,12,0,3,6,3,3,1,0,0
5046.875,4099.484,4647,1,10,0,12,0,0,19,3,3,1,0,0
0,0,0,1,11,0,12,0,0,19,3,3,1,0,0
-160.853,-130.66,-130.66,1,11,0,12,0,2,11,3,3,1,0,0
0.043,0.035,0.04,1,10,0,12,1,0,3,3,3,1,0,0
0,0,0,1,11,0,12,1,0,3,3,3,1,0,0
1119436.84,1119436.84,1119436.84,1,30,0,35,0,0,19,3,3,1,0,0
845.73,845.73,845.73,1,30,0,35,1,0,3,3,3,1,0,0
-845.73,-845.73,-845.73,1,30,0,35,0,2,11,3,3,1,0,0
12.373,10.12,11.46,1,10,0,12,0,2,11,3,3,1,0,0
-3.046,-2.47,-2.83,1,10,0,12,0,2,11,3,3,1,0,0
3.074,2.497,2.83,1,10,0,12,1,0,3,3,3,1,0,0
-165.449,-134.391,-152.34,1,10,0,12,1,0,3,3,3,1,0,0
0,0,0,1,10,0,12,2,3,13,3,3,1,0,0
0,0,0,1,10,0,12,2,3,23,3,3,1,0,0
407.77,376.415,4271.56,0,25,1,23,0,0,19,3,3,0,0,1
-72738.494,-72738.494,-1593944.15,1,7,0,12,0,0,19,1,1,0,0,0
145839433.3,145839433.3,145839433.3,0,30,0,35,0,0,19,1,1,0,0,0
555690065.2,555690065.2,555690065.2,0,30,0,35,0,0,19,1,1,0,0,0
-55725541.5,-55725541.5,-55725541.5,0,30,0,35,0,0,19,1,1,0,0,0
-391300518.1,-391300518.1,-391300518.1,0,30,0,35,0,0,19,1,1,0,0,0
-823872429.4,-823872429.4,-823872429.4,0,30,0,35,0,0,19,1,1,0,0,0
391300518.1,391300518.1,391300518.1,0,30,0,35,0,0,19,1,1,0,0,0
30987257.2,30987257.2,30987257.2,1,30,0,35,0,0,19,1,1,0,0,0
-1164285.89,-1164285.89,-1164285.89,1,30,0,35,0,0,19,1,1,0,0,0
-39792,-39792,-39792,0,30,0,35,0,0,19,1,1,0,0,0
255.73,255.73,255.73,0,30,0,35,0,0,19,1,1,0,0,0
-456460482.8,-456460482.8,-456460482.8,0,30,0,35,0,0,19,1,1,0,0,0
-38541515.45,-38541515.45,-38541515.45,0,30,0,35,0,0,19,1,1,0,0,0
-1.8,-1.8,-1.8,0,30,0,35,0,0,19,1,1,0,0,0
23372620,23372620,23372620,0,30,0,35,0,0,19,1,1,0,0,0
73909.438,1392380,1392380,0,17,0,24,0,0,19,1,1,0,0,0
69817.04,69817.04,69817.04,0,30,0,13,0,0,19,1,2,0,0,0
-462049411.6,-462049411.6,-462049411.6,1,30,0,35,0,0,19,1,2,0,0,0
612109.79,612109.79,612109.79,0,30,0,4,0,0,19,1,2,0,0,0
3508.71,3508.71,3508.71,0,30,0,12,0,0,19,1,2,0,0,0
367920,367920,367920,0,30,0,35,0,0,19,1,2,0,0,0
0.76,0.76,0.76,1,30,0,30,0,0,19,1,2,0,0,0
21512.54,21512.54,21512.54,0,30,0,24,0,0,19,1,2,0,0,0
65.716,53.38,60.58,1,10,0,12,0,2,11,3,3,1,0,0
-1326.403,-1077.413,-1221.31,1,10,0,12,1,0,3,3,3,1,0,0
-840.418,-682.656,-773.83,1,10,0,12,1,0,3,3,3,1,0,0
123293.825,100149.318,113525,1,10,0,12,0,0,19,3,3,1,0,0
0,0,0,0,33,1,12,0,0,19,3,3,0,0,1
0,0,0,1,30,0,35,0,0,19,3,3,1,0,0
0,0,0,1,30,0,35,1,0,3,3,3,1,0,0
-3663.64,-3663.64,-3663.64,1,30,0,35,0,2,11,3,3,1,0,0
139728.76,139728.76,139728.76,1,30,0,35,0,0,19,3,3,1,0,0
786.59,786.59,786.59,1,30,0,35,1,0,3,3,3,1,0,0
-567.08,-567.08,-567.08,1,30,0,35,0,2,11,3,3,1,0,0
2530000,2530000,2530000,1,30,0,35,0,0,19,3,3,1,0,0
-4671.88,-4671.88,-4671.88,1,30,0,35,0,2,11,3,3,1,0,0
4671.88,4671.88,4671.88,1,30,0,35,1,0,3,3,3,1,0,0
0,0,0,1,32,0,33,0,0,19,3,3,1,0,0
0,0,0,1,32,0,33,1,0,3,3,3,1,0,0
-328.7,-328.7,-5609.98,1,32,0,33,0,2,11,3,3,1,0,0
-6370805.93,-6370805.93,-6370805.93,0,30,0,3,0,0,19,1,3,0,0,0
